time_days,rate_emm13,rate_source,rate_bkg,rate_total,err
0.0,0.008117465223044561,0.00798611111111111,0.00032407407407407406,0.008310185185185184,0.00044559438460655624
0.5,0.011245086034636692,0.01099537037037037,0.0002777777777777778,0.011273148148148148,0.0005168572928933462
1.0,0.01068609564067381,0.012037037037037037,0.00018518518518518518,0.012222222222222223,0.0005376902160977745
1.5,0.008092817830468703,0.007407407407407408,0.00018518518518518518,0.007592592592592593,0.000426548257468658
2.0,0.008191466227138226,0.008333333333333333,0.0002546296296296296,0.008587962962962962,0.00045275202566654404
2.5,0.009144116583012831,0.008587962962962962,0.00037037037037037035,0.008958333333333332,0.00046212312747597557
3.0,0.007101541902998795,0.0077777777777777776,0.0002314814814814815,0.00800925925925926,0.00043770821065858886
3.5,0.005998328240385665,0.005787037037037037,0.00030092592592592595,0.0060879629629629626,0.0003835544633748753
4.0,0.0051039686829938485,0.005023148148148148,0.00037037037037037035,0.005393518518518519,0.00036199298818365274
4.5,0.005954704009832198,0.005578703703703704,0.00011574074074074075,0.005694444444444445,0.00037148997484330874
5.0,0.005767802990826675,0.005509259259259259,0.0003935185185185185,0.005902777777777778,0.0003779250352560408
5.5,0.005696791381234608,0.005671296296296297,0.0002546296296296296,0.0059259259259259265,0.000378633290976861
6.0,0.00486004426637024,0.004907407407407407,0.00034722222222222224,0.005254629629629629,0.0003575246885433207
6.5,0.00608381499870254,0.005810185185185186,0.0002314814814814815,0.006041666666666667,0.0003821548807086093
7.0,0.007747168991767451,0.007199074074074074,0.0002777777777777778,0.007476851851851852,0.0004233960700527409
7.5,0.007080681031197178,0.006944444444444444,0.00030092592592592595,0.00724537037037037,0.00041702022074381395
8.0,0.007628917721931167,0.00787037037037037,0.00020833333333333335,0.008078703703703703,0.00043954065564633424
8.5,0.005783558666050413,0.006342592592592592,0.0002777777777777778,0.00662037037037037,0.00039929722252556016
9.0,0.005984319945037044,0.0059953703703703705,0.00034722222222222224,0.006342592592592592,0.00039116266535082735
9.5,0.007047192448577239,0.007476851851851852,0.0002777777777777778,0.0077546296296296295,0.00043092258386903887
10.0,0.004916104721675616,0.00525462962962963,0.00030092592592592595,0.005555555555555556,0.0003671372779124322
10.5,0.005302786799543159,0.005486111111111111,0.00016203703703703703,0.005648148148148148,0.000370044764702468
11.0,0.006271822257788957,0.00625,0.00032407407407407406,0.006574074074074074,0.0003979530102804218
11.5,0.008463516071382992,0.008796296296296297,0.0002314814814814815,0.009027777777777779,0.00046385913296629466
12.0,0.005086097698242677,0.005115740740740741,0.0002314814814814815,0.005347222222222223,0.0003605097085637957
12.5,0.003994421701412444,0.0038425925925925928,0.00020833333333333335,0.004050925925925926,0.00031616513289448993
13.0,0.004255702584349533,0.004629629629629629,0.00020833333333333335,0.004837962962962962,0.00034377149560369804
13.5,0.004631164905583852,0.004791666666666666,0.0002314814814814815,0.005023148148148148,0.00034995076123808095
14.0,0.00881740787281115,0.008657407407407407,0.0004166666666666667,0.009074074074074073,0.00046501286945806116
14.5,0.009856734334481034,0.01037037037037037,0.0002546296296296296,0.010624999999999999,0.0005021334801243162
15.0,0.007627594307770206,0.006689814814814815,0.00037037037037037035,0.007060185185185186,0.00041184847991428884
15.5,0.009055295642403234,0.009027777777777777,0.00030092592592592595,0.009328703703703704,0.0004713079387737858
16.0,0.007627306850805824,0.007638888888888889,0.0002314814814814815,0.00787037037037037,0.0004340201114024693
16.5,0.004249875765514429,0.004583333333333333,0.00018518518518518518,0.004768518518518518,0.00034142543973983186
17.0,0.004427901768277877,0.003935185185185185,0.00020833333333333335,0.004143518518518518,0.0003195367558027479
17.5,0.0051369079734009835,0.004861111111111111,0.0002777777777777778,0.005138888888888889,0.0003537579951104362
18.0,0.0066747614282499385,0.006319444444444444,0.00034722222222222224,0.006666666666666666,0.00040063692471114533
18.5,0.005870237416961762,0.005416666666666667,0.00030092592592592595,0.005717592592592593,0.0003722104756341105
19.0,0.006504654398138843,0.007013888888888889,0.0002546296296296296,0.007268518518518519,0.0004176621855901105
19.5,0.007869047302228533,0.0078009259259259256,0.00034722222222222224,0.008148148148148147,0.0004413654928220774
