time_days,rate_emm13,rate_source,rate_bkg,rate_total,err
2.0,0.010328771290141654,0.010439814814814815,0.00037037037037037035,0.010810185185185185,0.000506383970879081
2.5,0.009804931909559646,0.009444444444444445,0.0002314814814814815,0.009675925925925926,0.0004797590276290003
3.0,0.009936621738308645,0.01,0.00030092592592592595,0.010300925925925927,0.0004946072352727125
3.5,0.009026895043043898,0.009027777777777777,0.00018518518518518518,0.009212962962962963,0.0004684570304070071
4.0,0.009624577775364332,0.009097222222222222,0.00032407407407407406,0.009421296296296296,0.00047357630874226496
4.5,0.011998848256085926,0.012083333333333333,0.00018518518518518518,0.012268518518518519,0.0005386858472362613
5.0,0.014205912607923235,0.012800925925925926,0.0002546296296296296,0.013055555555555555,0.0005553385381405306
5.5,0.0133195431744691,0.013587962962962963,0.00016203703703703703,0.01375,0.0005696279442098325
7.0,0.010212779243092551,0.010069444444444445,0.0001388888888888889,0.010208333333333333,0.0004924357522899428
8.0,0.009416117841810226,0.009560185185185185,0.0002777777777777778,0.009837962962962963,0.0004836523358057357
10.0,0.00998628659433205,0.009606481481481481,0.00018518518518518518,0.009791666666666667,0.00048254316740056215
10.5,0.010502724867629694,0.010648148148148148,0.00016203703703703703,0.010810185185185185,0.000506383970879081
11.0,0.012614712353206823,0.012060185185185186,0.00032407407407407406,0.01238425925925926,0.0005411669112446656
13.0,0.01189872256709373,0.012476851851851852,0.00020833333333333335,0.012685185185185185,0.0005475650680430991
14.0,0.010397857424518311,0.010069444444444445,0.0001388888888888889,0.010208333333333333,0.0004924357522899428
15.0,0.00984890266584552,0.01,0.00018518518518518518,0.010185185185185186,0.0004918913837125767
15.5,0.00800656825226845,0.008912037037037038,0.00032407407407407406,0.009236111111111112,0.00046902859838227366
16.0,0.007556149587618504,0.00798611111111111,0.0002777777777777778,0.008263888888888888,0.00044439023624233507
16.5,0.007767238723664228,0.0078009259259259256,0.0002777777777777778,0.008078703703703703,0.00043954065564633424
17.0,0.007984603414311163,0.007893518518518518,0.0001388888888888889,0.008032407407407407,0.0004383198768486688
17.5,0.008319231588914865,0.00798611111111111,0.00034722222222222224,0.008333333333333333,0.0004461952401758497
18.0,0.0075305864741298315,0.007476851851851852,6.944444444444444e-05,0.007546296296296296,0.00042529018613667925
19.5,0.00531614877978439,0.005578703703703704,0.00030092592592592595,0.00587962962962963,0.00037721544972414776
20.0,0.005692941936544725,0.005509259259259259,0.0002546296296296296,0.005763888888888889,0.00037364730923311623
20.5,0.006677244061842754,0.006481481481481481,0.00020833333333333335,0.006689814814814814,0.0004013050986527489
